user,topic,tick
5,topic,0
9,topic,0
20,topic,0
35,topic,0
37,topic,0
46,topic,0
53,topic,0
60,topic,0
67,topic,0
79,topic,0
4,topic,1
33,topic,1
41,topic,1
46,topic,1
47,topic,1
51,topic,1
52,topic,1
64,topic,1
80,topic,1
81,topic,1
86,topic,1
88,topic,1
94,topic,1
29,topic,2
34,topic,2
50,topic,2
71,topic,2
83,topic,2
89,topic,2
97,topic,2
2,topic,3
17,topic,3
22,topic,3
43,topic,3
56,topic,3
57,topic,3
60,topic,3
62,topic,3
89,topic,3
97,topic,3
0,topic,4
10,topic,4
12,topic,4
15,topic,4
36,topic,4
45,topic,4
47,topic,4
50,topic,4
58,topic,4
59,topic,4
63,topic,4
79,topic,4
96,topic,4
97,topic,4
2,topic,5
40,topic,5
60,topic,5
79,topic,5
97,topic,5
16,topic,6
21,topic,6
22,topic,6
23,topic,6
28,topic,6
32,topic,6
38,topic,6
45,topic,6
54,topic,6
56,topic,6
60,topic,6
64,topic,6
68,topic,6
77,topic,6
78,topic,6
79,topic,6
98,topic,6
3,topic,7
21,topic,7
27,topic,7
37,topic,7
47,topic,7
57,topic,7
65,topic,7
81,topic,7
82,topic,7
88,topic,7
94,topic,7
3,topic,8
4,topic,8
26,topic,8
30,topic,8
47,topic,8
63,topic,8
79,topic,8
83,topic,8
93,topic,8
7,topic,9
20,topic,9
21,topic,9
22,topic,9
37,topic,9
39,topic,9
46,topic,9
57,topic,9
64,topic,9
68,topic,9
80,topic,9
97,topic,9
11,topic,10
13,topic,10
14,topic,10
16,topic,10
43,topic,10
53,topic,10
75,topic,10
96,topic,10
97,topic,10
16,topic,11
36,topic,11
37,topic,11
40,topic,11
42,topic,11
47,topic,11
51,topic,11
70,topic,11
82,topic,11
3,topic,12
8,topic,12
12,topic,12
15,topic,12
21,topic,12
35,topic,12
54,topic,12
55,topic,12
58,topic,12
71,topic,12
74,topic,12
75,topic,12
80,topic,12
81,topic,12
82,topic,12
84,topic,12
86,topic,12
93,topic,12
0,topic,13
3,topic,13
4,topic,13
11,topic,13
17,topic,13
21,topic,13
22,topic,13
37,topic,13
49,topic,13
81,topic,13
89,topic,13
96,topic,13
98,topic,13
6,topic,14
7,topic,14
16,topic,14
28,topic,14
39,topic,14
41,topic,14
42,topic,14
44,topic,14
49,topic,14
56,topic,14
70,topic,14
78,topic,14
79,topic,14
1,topic,15
3,topic,15
5,topic,15
7,topic,15
14,topic,15
40,topic,15
59,topic,15
80,topic,15
63,topic,16
73,topic,16
79,topic,16
90,topic,16
10,topic,17
29,topic,17
42,topic,17
43,topic,17
47,topic,17
55,topic,17
67,topic,17
83,topic,17
89,topic,17
20,topic,18
24,topic,18
37,topic,18
39,topic,18
47,topic,18
48,topic,18
56,topic,18
57,topic,18
60,topic,18
86,topic,18
99,topic,18
0,topic,19
3,topic,19
14,topic,19
47,topic,19
54,topic,19
68,topic,19
69,topic,19
94,topic,19
98,topic,19
