user,topic,tick
2,Iran,0
65,Public Transportation,0
72,Privacy,0
75,Iran,0
11,Iran,1
35,Privacy,1
67,Public Transportation,1
69,Iran,1
87,Privacy,1
88,Privacy,1
89,Iran,1
96,Iran,1
1,Privacy,2
7,Privacy,2
26,Public Transportation,2
32,Iran,2
41,Public Transportation,2
50,Privacy,2
51,Iran,2
56,Public Transportation,2
61,Privacy,2
98,Public Transportation,2
4,Iran,4
7,Privacy,4
8,Privacy,4
23,Public Transportation,4
26,Privacy,4
28,Privacy,4
34,Privacy,4
69,Public Transportation,4
79,Privacy,4
80,Iran,4
6,Iran,5
11,Iran,5
14,Iran,5
18,Iran,5
28,Privacy,5
35,Privacy,5
40,Iran,5
42,Public Transportation,5
48,Iran,5
49,Privacy,5
56,Public Transportation,5
72,Iran,5
91,Public Transportation,5
1,Iran,6
10,Iran,6
15,Privacy,6
19,Privacy,6
24,Public Transportation,6
51,Iran,6
57,Iran,6
59,Public Transportation,6
63,Privacy,6
86,Privacy,6
95,Public Transportation,6
5,Privacy,7
16,Iran,7
19,Public Transportation,7
23,Privacy,7
26,Public Transportation,7
27,Public Transportation,7
30,Privacy,7
31,Privacy,7
38,Public Transportation,7
60,Privacy,7
65,Privacy,7
75,Iran,7
82,Public Transportation,7
89,Privacy,7
90,Public Transportation,7
91,Iran,7
94,Public Transportation,7
96,Public Transportation,7
98,Privacy,7
5,Privacy,8
23,Iran,8
33,Privacy,8
53,Privacy,8
76,Public Transportation,8
77,Privacy,8
81,Public Transportation,8
82,Privacy,8
6,Public Transportation,9
14,Privacy,9
31,Public Transportation,9
61,Iran,9
73,Privacy,9
76,Iran,9
77,Public Transportation,9
80,Public Transportation,9
83,Privacy,9
97,Privacy,9
5,Iran,10
6,Public Transportation,10
8,Privacy,10
13,Privacy,10
15,Privacy,10
60,Iran,10
63,Privacy,10
66,Public Transportation,10
80,Privacy,10
95,Privacy,10
4,Privacy,11
17,Privacy,11
30,Iran,11
31,Public Transportation,11
38,Iran,11
41,Privacy,11
43,Public Transportation,11
56,Public Transportation,11
78,Public Transportation,11
89,Iran,11
11,Privacy,12
27,Iran,12
29,Iran,12
64,Iran,12
74,Privacy,12
89,Public Transportation,12
93,Iran,12
99,Public Transportation,12
5,Privacy,13
13,Iran,13
16,Iran,13
19,Iran,13
20,Public Transportation,13
22,Privacy,13
35,Iran,13
49,Iran,13
54,Iran,13
94,Privacy,13
95,Iran,13
97,Privacy,13
4,Privacy,14
13,Iran,14
22,Iran,14
24,Public Transportation,14
36,Public Transportation,14
41,Iran,14
78,Privacy,14
98,Public Transportation,14
15,Iran,15
18,Public Transportation,15
25,Privacy,15
32,Privacy,15
46,Iran,15
55,Iran,15
58,Iran,15
60,Privacy,15
77,Iran,15
83,Privacy,15
98,Public Transportation,15
14,Iran,16
18,Privacy,16
24,Privacy,16
38,Privacy,16
43,Public Transportation,16
47,Public Transportation,16
52,Privacy,16
71,Privacy,16
72,Iran,16
89,Privacy,16
97,Iran,16
98,Privacy,16
8,Iran,17
11,Privacy,17
34,Iran,17
35,Iran,17
46,Privacy,17
