user,topic,tick
4,Public Transport,0
1,Privacy,2
4,Privacy,2
5,Privacy,2
7,Privacy,2
2,Public Transport,3
8,Public Transport,3
2,Privacy,4
4,Privacy,5
5,Privacy,5
1,Privacy,7
7,Public Transport,7
1,Public Transport,8
6,Privacy,8
3,Privacy,9
9,Privacy,9
8,Privacy,10
6,Public Transport,12
7,Public Transport,12
9,Public Transport,12
6,Privacy,15
9,Public Transport,16
6,Privacy,17
8,Public Transport,17
1,Public Transport,18
0,Public Transport,20
1,Privacy,21
5,Public Transport,21
1,Public Transport,22
9,Public Transport,22
8,Public Transport,24
5,Public Transport,25
2,Privacy,26
3,Public Transport,26
2,Public Transport,28
8,Public Transport,28
1,Public Transport,29
4,Public Transport,29
8,Public Transport,29
7,Public Transport,31
1,Privacy,32
1,Privacy,33
4,Privacy,33
3,Privacy,34
4,Public Transport,35
6,Public Transport,35
3,Public Transport,38
4,Public Transport,42
8,Public Transport,42
9,Privacy,42
3,Privacy,44
6,Privacy,47
3,Privacy,50
6,Public Transport,50
9,Privacy,50
6,Privacy,52
8,Public Transport,53
7,Public Transport,54
3,Privacy,56
3,Privacy,57
4,Privacy,58
6,Public Transport,59
8,Privacy,59
0,Privacy,60
7,Public Transport,60
0,Privacy,61
7,Privacy,62
5,Privacy,65
7,Public Transport,65
0,Public Transport,66
4,Public Transport,68
9,Public Transport,70
1,Public Transport,71
7,Privacy,71
9,Privacy,71
1,Public Transport,73
3,Privacy,75
7,Privacy,75
9,Public Transport,75
1,Privacy,77
3,Public Transport,77
4,Public Transport,79
7,Privacy,79
5,Privacy,80
2,Public Transport,81
9,Privacy,82
5,Public Transport,83
6,Privacy,83
7,Privacy,85
5,Public Transport,86
3,Public Transport,87
9,Public Transport,87
3,Privacy,88
6,Public Transport,89
2,Privacy,90
9,Public Transport,90
5,Privacy,92
7,Public Transport,93
5,Public Transport,94
6,Privacy,95
3,Privacy,96
3,Public Transport,97
5,Privacy,97
1,Public Transport,98
3,Public Transport,98
4,Public Transport,98
3,Public Transport,99
9,Privacy,100
0,Privacy,102
3,Public Transport,103
7,Privacy,104
3,Privacy,105
9,Public Transport,105
0,Privacy,106
7,Privacy,106
0,Public Transport,107
2,Privacy,107
6,Privacy,107
1,Privacy,109
9,Public Transport,110
1,Public Transport,111
8,Public Transport,111
6,Public Transport,112
7,Privacy,112
2,Privacy,113
9,Public Transport,114
4,Privacy,116
2,Privacy,117
6,Privacy,117
4,Privacy,120
0,Privacy,123
6,Privacy,124
8,Public Transport,126
9,Public Transport,126
0,Privacy,127
1,Privacy,127
2,Privacy,129
0,Privacy,130
3,Public Transport,130
7,Public Transport,130
9,Public Transport,130
7,Privacy,131
8,Privacy,131
9,Privacy,131
4,Public Transport,132
4,Public Transport,133
5,Public Transport,133
9,Public Transport,133
4,Public Transport,134
9,Privacy,134
3,Privacy,135
5,Public Transport,135
1,Public Transport,138
2,Public Transport,138
4,Public Transport,139
2,Public Transport,141
8,Privacy,142
7,Privacy,143
8,Privacy,143
0,Privacy,144
3,Public Transport,145
8,Public Transport,148
0,Privacy,149
5,Public Transport,149
3,Public Transport,150
0,Public Transport,151
9,Privacy,151
0,Public Transport,153
0,Privacy,155
4,Public Transport,155
7,Privacy,155
5,Public Transport,156
3,Privacy,157
7,Privacy,158
5,Privacy,160
6,Public Transport,160
4,Privacy,164
2,Privacy,165
9,Public Transport,166
2,Public Transport,167
5,Public Transport,167
3,Privacy,170
4,Privacy,170
6,Privacy,171
0,Privacy,172
4,Public Transport,174
2,Public Transport,175
9,Privacy,175
5,Public Transport,176
2,Privacy,177
9,Public Transport,177
2,Privacy,178
9,Public Transport,178
2,Public Transport,179
4,Public Transport,179
8,Privacy,181
8,Privacy,182
9,Privacy,182
7,Public Transport,183
8,Public Transport,183
9,Privacy,183
5,Privacy,186
7,Public Transport,186
9,Privacy,189
2,Public Transport,191
6,Public Transport,193
0,Privacy,196
2,Public Transport,196
2,Public Transport,197
1,Privacy,201
3,Public Transport,201
5,Public Transport,201
3,Privacy,203
5,Privacy,203
0,Public Transport,204
4,Privacy,204
8,Public Transport,204
1,Privacy,205
5,Public Transport,207
7,Privacy,208
8,Privacy,209
2,Privacy,211
3,Privacy,213
4,Public Transport,215
9,Privacy,215
8,Public Transport,218
3,Public Transport,219
6,Privacy,219
8,Public Transport,219
0,Public Transport,220
8,Privacy,220
0,Public Transport,221
3,Public Transport,221
2,Public Transport,223
9,Privacy,223
4,Public Transport,226
9,Public Transport,226
4,Privacy,227
5,Public Transport,228
4,Public Transport,229
5,Public Transport,229
7,Public Transport,231
4,Public Transport,239
