user,topic,tick
9,tp2,0
12,tp2,0
14,tp2,0
18,tp1,0
28,tp1,0
44,tp3,0
16,tp1,1
28,tp1,1
45,tp2,1
48,tp3,1
0,tp3,2
3,tp3,2
9,tp1,2
29,tp3,2
36,tp1,2
48,tp2,2
1,tp2,3
8,tp1,3
10,tp2,3
19,tp1,3
30,tp3,3
49,tp2,3
26,tp3,4
39,tp2,4
44,tp1,4
48,tp3,4
1,tp2,5
5,tp3,5
10,tp3,5
12,tp3,5
25,tp2,5
7,tp2,6
11,tp1,6
18,tp2,6
37,tp2,6
1,tp3,7
4,tp3,7
6,tp2,7
10,tp3,7
12,tp1,7
16,tp3,7
25,tp3,7
26,tp1,7
44,tp1,7
19,tp2,8
26,tp1,8
41,tp3,8
2,tp2,9
12,tp3,9
20,tp1,9
23,tp1,9
30,tp2,9
42,tp1,9
4,tp3,10
5,tp3,10
8,tp2,10
20,tp2,10
22,tp1,10
25,tp3,10
36,tp3,10
37,tp1,10
3,tp2,11
17,tp3,11
18,tp2,11
29,tp1,11
47,tp1,11
9,tp1,12
21,tp3,12
22,tp3,12
28,tp2,12
42,tp2,12
44,tp2,12
6,tp1,13
8,tp1,13
6,tp1,14
15,tp3,14
24,tp1,14
28,tp3,14
18,tp1,15
39,tp2,15
40,tp2,15
43,tp2,15
44,tp2,15
48,tp3,15
10,tp2,16
26,tp1,16
34,tp2,16
37,tp3,16
42,tp3,16
0,tp3,17
2,tp3,17
5,tp1,17
9,tp1,17
10,tp3,17
24,tp1,17
30,tp1,17
33,tp1,17
43,tp2,17
1,tp3,18
14,tp2,18
23,tp1,18
33,tp3,18
41,tp2,18
47,tp3,18
25,tp1,19
29,tp3,19
41,tp2,19
43,tp3,19
45,tp1,19
47,tp2,19
12,tp2,20
26,tp3,20
30,tp2,20
46,tp3,20
6,tp1,21
11,tp2,21
18,tp2,21
29,tp2,21
31,tp3,21
32,tp2,21
42,tp3,21
47,tp1,21
1,tp2,22
23,tp1,22
40,tp2,22
42,tp2,22
46,tp1,22
22,tp3,23
32,tp2,23
34,tp1,23
35,tp3,23
36,tp2,23
32,tp2,24
41,tp1,24
42,tp1,24
15,tp2,25
19,tp1,25
22,tp1,25
40,tp2,25
4,tp3,26
12,tp2,26
18,tp1,26
21,tp1,26
28,tp3,26
30,tp2,26
39,tp1,26
49,tp2,26
18,tp1,27
29,tp2,27
32,tp2,27
33,tp1,27
46,tp3,27
2,tp3,28
11,tp1,28
15,tp1,28
25,tp3,28
28,tp2,28
33,tp1,28
47,tp2,28
48,tp3,28
5,tp1,29
16,tp1,29
24,tp3,29
27,tp3,29
29,tp3,29
31,tp2,29
36,tp3,29
0,tp1,30
24,tp3,30
27,tp3,30
32,tp1,30
38,tp3,30
8,tp2,31
10,tp2,31
43,tp2,31
7,tp2,32
16,tp1,32
28,tp3,32
33,tp2,32
39,tp1,32
48,tp2,32
0,tp1,33
3,tp3,33
33,tp3,33
47,tp1,33
49,tp1,33
5,tp2,34
16,tp1,34
35,tp3,34
48,tp2,34
3,tp2,35
8,tp2,35
33,tp2,35
38,tp2,35
42,tp1,35
45,tp1,35
27,tp2,36
35,tp3,36
37,tp1,36
39,tp1,36
2,tp3,37
4,tp3,37
10,tp3,37
15,tp2,37
44,tp2,37
3,tp2,38
40,tp2,38
0,tp2,39
14,tp3,39
45,tp3,39
2,tp1,40
19,tp1,40
42,tp3,40
25,tp2,41
6,tp1,42
9,tp3,42
11,tp3,42
12,tp1,42
14,tp1,42
15,tp2,42
19,tp1,42
25,tp1,42
4,tp3,43
6,tp2,43
11,tp3,43
13,tp2,43
20,tp3,43
21,tp1,43
22,tp2,43
40,tp2,43
8,tp2,44
21,tp2,44
46,tp3,44
4,tp1,45
5,tp1,45
8,tp2,46
13,tp1,46
18,tp1,46
24,tp3,46
29,tp1,46
37,tp1,46
39,tp3,46
28,tp3,47
32,tp1,47
46,tp2,47
42,tp2,48
5,tp3,49
20,tp1,49
22,tp1,49
26,tp1,49
30,tp1,49
8,tp2,50
11,tp3,50
39,tp3,50
45,tp1,50
1,tp2,51
6,tp3,51
8,tp2,51
15,tp2,51
31,tp2,51
35,tp3,51
38,tp2,51
44,tp3,51
2,tp1,52
29,tp3,52
33,tp3,52
34,tp3,52
42,tp2,52
0,tp1,53
3,tp1,53
9,tp3,53
16,tp2,53
21,tp1,53
22,tp1,53
28,tp3,53
29,tp2,53
39,tp3,53
41,tp2,53
43,tp3,53
3,tp3,54
4,tp2,54
29,tp1,54
48,tp3,54
7,tp2,55
8,tp3,55
14,tp2,55
22,tp1,55
44,tp1,55
45,tp1,55
2,tp1,56
16,tp2,56
19,tp3,56
38,tp1,56
39,tp2,56
13,tp1,57
19,tp3,57
20,tp2,57
33,tp2,57
38,tp1,57
4,tp2,58
13,tp3,58
17,tp2,58
26,tp2,58
28,tp2,58
33,tp3,58
35,tp3,58
40,tp1,58
44,tp3,58
0,tp1,59
10,tp2,59
13,tp2,59
30,tp1,59
40,tp1,59
42,tp1,59
49,tp3,59
8,tp1,60
30,tp3,60
31,tp1,60
44,tp2,60
48,tp3,60
1,tp1,61
6,tp2,61
31,tp2,61
4,tp1,62
10,tp2,62
17,tp3,62
24,tp1,62
28,tp2,62
32,tp2,62
41,tp3,62
26,tp1,63
0,tp2,64
4,tp2,64
7,tp1,64
12,tp1,64
35,tp1,64
40,tp2,64
1,tp2,65
2,tp2,65
11,tp2,65
21,tp3,65
39,tp2,65
42,tp1,65
3,tp1,66
8,tp1,66
25,tp3,66
28,tp2,66
31,tp3,66
38,tp2,66
44,tp2,66
48,tp1,66
49,tp1,66
1,tp1,67
2,tp2,67
7,tp1,67
3,tp1,68
5,tp2,68
7,tp1,68
8,tp3,68
11,tp1,68
28,tp1,68
0,tp2,69
8,tp2,69
9,tp2,69
10,tp1,69
16,tp2,69
34,tp3,69
40,tp1,69
42,tp3,69
10,tp1,70
13,tp2,70
48,tp3,70
17,tp3,71
22,tp2,71
30,tp2,71
31,tp2,71
32,tp1,71
45,tp2,71
48,tp2,71
49,tp1,71
27,tp1,72
30,tp1,72
39,tp1,72
45,tp2,72
47,tp3,72
10,tp2,73
17,tp2,73
22,tp1,73
34,tp1,73
40,tp3,73
47,tp3,73
21,tp2,74
27,tp3,74
37,tp2,74
6,tp2,75
31,tp2,76
32,tp3,76
36,tp3,76
49,tp1,76
3,tp2,77
13,tp2,77
15,tp3,77
31,tp1,77
34,tp3,77
35,tp1,77
12,tp1,78
26,tp1,78
31,tp1,78
46,tp1,78
48,tp3,78
5,tp1,79
6,tp1,79
7,tp3,79
16,tp3,79
19,tp2,79
36,tp2,79
38,tp3,79
45,tp3,79
48,tp3,79
4,tp3,80
28,tp3,80
6,tp3,81
23,tp2,81
6,tp3,82
24,tp3,82
28,tp3,82
33,tp3,82
38,tp2,82
7,tp1,83
16,tp1,83
18,tp1,83
24,tp2,83
25,tp1,83
33,tp2,83
36,tp3,83
39,tp3,83
41,tp1,83
48,tp2,83
9,tp2,84
16,tp1,84
30,tp1,84
34,tp1,84
37,tp1,84
39,tp1,84
41,tp2,84
47,tp2,84
49,tp1,84
17,tp3,85
28,tp3,85
40,tp1,85
41,tp1,85
12,tp1,86
14,tp2,86
21,tp2,86
26,tp1,86
27,tp1,86
30,tp2,86
18,tp3,87
24,tp3,87
25,tp3,87
26,tp3,87
43,tp2,87
6,tp3,88
39,tp2,88
7,tp2,89
9,tp3,89
26,tp3,89
31,tp1,89
34,tp2,89
38,tp3,89
42,tp3,89
5,tp2,90
17,tp3,90
21,tp3,90
23,tp2,90
34,tp3,90
39,tp2,90
3,tp1,91
6,tp3,91
7,tp1,91
19,tp1,91
27,tp2,91
21,tp3,92
31,tp3,92
32,tp1,92
44,tp2,92
45,tp3,92
40,tp3,93
47,tp3,93
1,tp1,94
12,tp2,94
28,tp2,94
32,tp3,94
44,tp3,94
10,tp2,95
20,tp2,95
21,tp2,95
6,tp3,97
7,tp3,97
15,tp1,97
24,tp1,97
49,tp1,97
12,tp2,98
13,tp2,98
26,tp2,98
36,tp2,98
47,tp1,98
5,tp2,99
9,tp3,99
12,tp3,99
14,tp2,99
18,tp1,99
20,tp2,99
26,tp3,99
35,tp1,99
49,tp1,99
17,tp3,100
23,tp3,100
28,tp1,100
32,tp2,100
16,tp2,101
28,tp1,101
33,tp1,101
37,tp1,101
38,tp3,101
0,tp2,102
6,tp2,102
21,tp1,102
36,tp3,102
38,tp3,102
9,tp3,103
18,tp1,103
26,tp2,103
28,tp3,103
33,tp2,103
35,tp3,103
37,tp2,103
41,tp3,103
46,tp1,103
48,tp1,103
1,tp1,104
14,tp3,104
16,tp1,104
30,tp3,104
31,tp3,104
