user,topic,tick
2,27,0
7,82,0
21,57,0
24,62,0
30,22,0
37,49,0
45,2,0
39,92,1
0,44,2
1,37,2
12,38,2
13,11,2
8,23,3
15,35,3
19,100,3
20,20,3
29,57,3
38,5,3
44,22,3
48,75,3
10,75,4
26,62,4
36,93,4
22,48,6
25,39,6
32,16,6
35,96,6
40,69,6
15,45,7
28,90,7
29,46,7
42,20,7
48,16,7
2,4,8
22,97,8
29,75,8
31,94,8
35,37,8
37,6,8
43,96,8
44,19,8
1,96,9
12,93,9
14,37,9
32,15,9
38,87,9
43,21,9
47,21,9
9,96,10
30,76,10
31,70,10
2,13,11
3,87,11
15,24,11
21,2,11
36,48,11
47,43,11
1,20,12
25,99,12
34,97,12
42,6,12
44,24,12
2,48,13
5,30,13
9,15,13
14,77,13
16,13,13
19,56,13
22,29,13
32,59,13
34,49,13
48,55,13
49,56,13
9,57,14
11,25,14
26,75,14
28,48,14
39,58,14
41,15,14
13,87,15
34,98,15
38,32,15
39,86,15
47,2,15
1,90,16
22,100,16
28,63,16
29,12,16
37,86,16
14,20,17
27,41,17
34,58,17
6,81,18
31,82,18
44,7,18
47,94,18
8,95,19
48,80,19
0,42,20
10,57,20
19,55,20
31,10,20
41,5,20
42,43,20
47,19,20
16,50,21
22,26,21
33,86,21
32,27,22
34,37,22
42,4,22
48,38,22
4,9,23
10,12,23
17,19,23
32,53,23
46,95,23
47,50,23
17,47,24
49,54,24
29,22,25
45,29,25
3,100,26
13,27,26
25,91,26
36,16,26
41,20,26
47,18,26
10,85,27
22,73,27
36,88,27
4,8,28
7,16,28
29,92,28
31,60,28
3,29,29
10,16,29
11,15,29
13,48,29
26,47,29
39,64,29
48,26,29
14,26,30
19,55,30
23,95,30
37,45,30
38,10,30
41,20,30
42,9,30
46,69,30
0,4,31
11,96,31
12,32,31
19,56,31
20,37,31
31,75,31
41,73,31
45,100,31
1,4,32
4,6,32
5,52,32
14,83,32
15,52,32
19,63,32
30,77,32
31,10,32
6,81,33
19,37,33
29,58,33
32,77,33
40,82,33
18,42,34
3,77,35
16,66,35
19,70,35
29,49,35
37,26,35
42,21,35
2,22,36
30,53,36
38,37,36
46,3,36
48,95,36
16,30,37
19,9,37
34,55,37
41,44,37
10,34,38
13,30,38
19,75,38
34,20,38
6,87,39
20,38,39
25,77,39
38,16,39
43,21,39
2,55,40
11,25,40
15,88,40
28,14,40
33,10,40
44,40,40
45,55,40
3,81,41
5,54,41
24,85,41
31,88,41
7,36,42
19,9,42
37,15,42
38,25,42
42,96,42
46,83,42
47,93,42
48,95,42
12,24,43
11,48,44
27,46,44
28,20,44
33,58,44
43,75,44
10,99,45
21,96,45
23,54,45
43,36,45
5,8,46
14,98,46
18,25,46
41,26,46
2,25,47
13,96,47
19,16,47
23,49,47
27,62,47
46,47,47
47,79,47
8,33,48
9,18,48
12,9,48
26,82,48
48,19,48
3,2,49
14,39,49
19,91,49
24,96,49
32,43,49
35,91,49
42,29,49
47,57,49
39,81,50
43,37,50
47,8,50
14,67,51
15,78,51
21,80,51
29,63,51
39,79,51
45,37,51
7,31,52
9,64,52
17,81,52
7,37,53
33,89,53
39,52,53
40,92,53
46,31,53
19,75,54
27,91,54
39,59,54
41,98,54
43,87,55
47,42,55
4,98,56
9,62,56
25,78,56
26,14,56
29,8,56
41,72,56
43,17,56
49,69,56
0,37,57
1,54,57
6,50,57
8,99,57
22,13,57
32,30,57
38,5,57
45,13,57
4,100,58
29,6,58
42,52,58
8,62,59
12,41,59
20,58,59
35,49,59
1,16,60
4,5,60
20,43,60
36,61,60
38,18,60
3,4,61
8,78,61
9,4,61
17,85,61
27,79,61
45,3,61
1,77,62
11,49,62
22,94,62
32,78,62
36,31,62
0,66,63
3,12,63
13,93,63
19,90,63
21,76,63
23,28,63
34,90,63
39,15,63
41,57,63
12,15,64
19,44,64
45,99,64
5,1,65
44,50,65
13,35,66
17,90,66
18,54,66
29,10,66
8,30,67
30,1,67
8,23,68
28,15,68
33,92,68
34,17,68
0,59,69
13,38,69
44,15,69
46,97,69
12,29,70
15,82,70
21,75,70
24,64,70
7,73,71
10,21,71
11,90,71
24,28,71
29,67,71
30,59,71
32,49,71
40,22,71
3,9,72
17,39,72
20,35,72
26,16,72
34,44,72
41,6,72
2,77,73
7,100,73
30,31,73
33,69,73
40,49,73
41,68,73
1,27,74
5,65,74
8,32,74
15,42,74
26,74,74
39,69,74
0,97,75
5,96,75
8,43,75
12,56,75
15,86,75
24,39,75
25,69,75
33,61,75
38,6,75
