user,topic,tick
49,Public Transportation,0
57,Privacy,0
61,Public Transportation,0
78,Privacy,0
80,Public Transportation,0
83,Iran,0
11,Iran,1
14,Iran,1
17,Privacy,1
24,Iran,1
31,Public Transportation,1
44,Privacy,1
51,Iran,1
66,Public Transportation,1
67,Iran,1
71,Public Transportation,1
78,Iran,1
92,Public Transportation,1
0,Public Transportation,2
5,Privacy,2
32,Public Transportation,2
35,Iran,2
39,Privacy,2
42,Privacy,2
45,Privacy,2
51,Iran,2
93,Public Transportation,2
98,Privacy,2
21,Privacy,3
37,Public Transportation,3
40,Privacy,3
56,Public Transportation,3
64,Public Transportation,3
65,Iran,3
66,Iran,3
67,Iran,3
78,Iran,3
80,Public Transportation,3
81,Privacy,3
84,Public Transportation,3
8,Iran,4
11,Iran,4
14,Public Transportation,4
22,Privacy,4
45,Iran,4
4,Public Transportation,5
14,Privacy,5
25,Iran,5
33,Privacy,5
39,Public Transportation,5
43,Privacy,5
51,Privacy,5
66,Iran,5
72,Privacy,5
80,Privacy,5
96,Public Transportation,5
10,Iran,6
18,Iran,6
19,Privacy,6
29,Public Transportation,6
36,Public Transportation,6
39,Privacy,6
51,Privacy,6
62,Public Transportation,6
69,Privacy,6
72,Iran,6
82,Public Transportation,6
89,Public Transportation,6
6,Iran,7
10,Iran,7
12,Privacy,7
23,Iran,7
26,Public Transportation,7
27,Iran,7
30,Iran,7
36,Iran,7
43,Public Transportation,7
52,Privacy,7
53,Privacy,7
59,Public Transportation,7
79,Public Transportation,7
87,Public Transportation,7
93,Public Transportation,7
2,Public Transportation,8
15,Iran,8
18,Public Transportation,8
28,Public Transportation,8
34,Public Transportation,8
44,Public Transportation,8
46,Public Transportation,8
48,Iran,8
50,Public Transportation,8
56,Public Transportation,8
65,Public Transportation,8
72,Iran,8
80,Public Transportation,8
84,Public Transportation,8
90,Iran,8
42,Iran,9
43,Iran,9
50,Privacy,9
52,Public Transportation,9
55,Public Transportation,9
61,Iran,9
66,Iran,9
72,Public Transportation,9
77,Privacy,9
79,Iran,9
81,Public Transportation,9
82,Public Transportation,9
4,Public Transportation,10
28,Public Transportation,10
32,Iran,10
52,Public Transportation,10
54,Public Transportation,10
60,Iran,10
61,Public Transportation,10
63,Iran,10
87,Iran,10
88,Iran,10
4,Privacy,11
10,Public Transportation,11
16,Public Transportation,11
19,Iran,11
25,Iran,11
35,Privacy,11
43,Public Transportation,11
61,Privacy,11
77,Iran,11
98,Public Transportation,11
4,Public Transportation,12
51,Public Transportation,12
64,Iran,12
66,Public Transportation,12
68,Public Transportation,12
76,Iran,12
80,Iran,12
86,Privacy,12
88,Privacy,12
96,Privacy,12
8,Iran,13
25,Iran,13
29,Privacy,13
38,Iran,13
52,Public Transportation,13
63,Public Transportation,13
66,Public Transportation,13
70,Public Transportation,13
78,Privacy,13
93,Public Transportation,13
14,Public Transportation,14
19,Public Transportation,14
22,Iran,14
73,Public Transportation,14
74,Public Transportation,14
81,Privacy,14
92,Iran,14
98,Public Transportation,14
0,Public Transportation,15
