user,topic,tick
13,Iran,0
35,Public Transportation,0
41,Public Transportation,0
47,Iran,0
51,Iran,0
72,Iran,0
90,Public Transportation,0
93,Privacy,0
5,Iran,1
9,Iran,1
12,Privacy,1
41,Public Transportation,1
49,Iran,1
57,Privacy,1
71,Public Transportation,1
81,Public Transportation,1
82,Public Transportation,1
83,Public Transportation,1
89,Public Transportation,1
95,Iran,1
96,Iran,1
99,Privacy,1
3,Iran,2
12,Iran,2
20,Iran,2
43,Iran,2
49,Public Transportation,2
54,Public Transportation,2
70,Privacy,2
72,Privacy,2
76,Iran,2
93,Privacy,2
1,Public Transportation,3
8,Iran,3
11,Public Transportation,3
19,Iran,3
36,Public Transportation,3
37,Iran,3
38,Iran,3
45,Iran,3
55,Iran,3
70,Privacy,3
79,Privacy,3
92,Privacy,3
98,Privacy,3
3,Privacy,4
4,Public Transportation,4
14,Iran,4
35,Privacy,4
37,Iran,4
44,Public Transportation,4
46,Public Transportation,4
50,Iran,4
55,Public Transportation,4
57,Public Transportation,4
59,Privacy,4
83,Public Transportation,4
85,Public Transportation,4
11,Privacy,5
19,Iran,5
23,Privacy,5
32,Public Transportation,5
84,Privacy,5
96,Public Transportation,5
7,Privacy,6
9,Privacy,6
11,Iran,6
15,Public Transportation,6
40,Iran,6
52,Privacy,6
57,Iran,6
64,Privacy,6
65,Public Transportation,6
69,Public Transportation,6
71,Public Transportation,6
78,Iran,6
82,Iran,6
0,Public Transportation,7
5,Iran,7
19,Iran,7
30,Iran,7
31,Iran,7
37,Iran,7
41,Iran,7
48,Iran,7
54,Iran,7
79,Iran,7
85,Iran,7
88,Public Transportation,7
93,Public Transportation,7
94,Iran,7
3,Privacy,8
17,Public Transportation,8
30,Privacy,8
36,Public Transportation,8
39,Privacy,8
52,Iran,8
65,Privacy,8
68,Public Transportation,8
83,Public Transportation,8
13,Public Transportation,9
18,Iran,9
22,Privacy,9
25,Public Transportation,9
70,Iran,9
88,Public Transportation,9
94,Public Transportation,9
98,Iran,9
9,Public Transportation,10
11,Public Transportation,10
15,Iran,10
19,Privacy,10
21,Privacy,10
34,Privacy,10
43,Public Transportation,10
49,Privacy,10
50,Iran,10
