user,topic,tick
5,Iran,0
8,Public Transportation,0
30,Privacy,0
32,Iran,0
41,Iran,0
47,Public Transportation,0
48,Privacy,0
54,Privacy,0
59,Iran,0
64,Public Transportation,0
83,Public Transportation,0
89,Iran,0
91,Iran,0
99,Privacy,0
10,Privacy,1
12,Privacy,1
18,Iran,1
23,Iran,1
24,Privacy,1
28,Public Transportation,1
36,Public Transportation,1
47,Public Transportation,1
81,Iran,1
94,Iran,1
3,Privacy,2
6,Public Transportation,2
11,Privacy,2
63,Iran,2
64,Iran,2
85,Iran,2
90,Iran,2
99,Public Transportation,2
6,Iran,3
21,Privacy,3
34,Privacy,3
49,Iran,3
65,Iran,3
68,Public Transportation,3
72,Iran,3
97,Public Transportation,3
17,Iran,4
19,Public Transportation,4
21,Iran,4
27,Iran,4
49,Privacy,4
51,Iran,4
63,Privacy,4
68,Iran,4
73,Public Transportation,4
75,Privacy,4
77,Privacy,4
78,Privacy,4
80,Privacy,4
84,Privacy,4
8,Public Transportation,5
15,Public Transportation,5
29,Privacy,5
38,Public Transportation,5
49,Privacy,5
82,Public Transportation,5
83,Iran,5
1,Public Transportation,6
5,Privacy,6
14,Iran,6
30,Privacy,6
35,Privacy,6
55,Public Transportation,6
56,Public Transportation,6
57,Public Transportation,6
72,Public Transportation,6
76,Privacy,6
79,Iran,6
95,Privacy,6
25,Privacy,7
33,Privacy,7
64,Privacy,7
74,Iran,7
75,Public Transportation,7
80,Privacy,7
95,Privacy,7
98,Iran,7
47,Public Transportation,8
49,Iran,8
71,Public Transportation,8
72,Privacy,8
78,Iran,8
83,Public Transportation,8
84,Iran,8
86,Iran,8
91,Iran,8
14,Public Transportation,9
17,Public Transportation,9
19,Public Transportation,9
30,Public Transportation,9
36,Privacy,9
47,Privacy,9
50,Privacy,9
53,Public Transportation,9
62,Iran,9
87,Iran,9
93,Iran,9
3,Privacy,10
4,Public Transportation,10
13,Public Transportation,10
23,Public Transportation,10
26,Public Transportation,10
41,Public Transportation,10
43,Privacy,10
55,Privacy,10
71,Public Transportation,10
82,Iran,10
87,Privacy,10
13,Privacy,11
20,Iran,11
35,Iran,11
36,Iran,11
40,Iran,11
