user,topic,tick
1,Privacy,0
3,Public Transportation,0
16,Public Transportation,0
19,Privacy,0
38,Public Transportation,0
42,Public Transportation,0
57,Privacy,0
58,Privacy,0
77,Iran,0
99,Privacy,0
2,Public Transportation,1
3,Public Transportation,1
9,Public Transportation,1
12,Iran,1
43,Iran,1
47,Privacy,1
61,Iran,1
67,Iran,1
76,Public Transportation,1
77,Iran,1
80,Public Transportation,1
81,Privacy,1
90,Iran,1
0,Privacy,2
6,Privacy,2
15,Public Transportation,2
21,Iran,2
22,Privacy,2
25,Privacy,2
30,Iran,2
38,Public Transportation,2
45,Privacy,2
59,Public Transportation,2
74,Privacy,2
75,Iran,2
90,Iran,2
95,Iran,2
5,Iran,3
8,Public Transportation,3
9,Privacy,3
10,Public Transportation,3
17,Privacy,3
18,Privacy,3
21,Privacy,3
31,Public Transportation,3
42,Privacy,3
61,Iran,3
68,Iran,3
69,Public Transportation,3
70,Iran,3
6,Iran,4
7,Privacy,4
13,Iran,4
29,Iran,4
54,Privacy,4
62,Iran,4
63,Public Transportation,4
79,Iran,4
89,Privacy,4
94,Public Transportation,4
13,Public Transportation,5
15,Public Transportation,5
25,Iran,5
30,Iran,5
31,Iran,5
32,Public Transportation,5
35,Public Transportation,5
39,Public Transportation,5
47,Public Transportation,5
81,Privacy,5
84,Public Transportation,5
91,Iran,5
30,Privacy,6
39,Privacy,6
43,Public Transportation,6
44,Iran,6
59,Privacy,6
60,Public Transportation,6
73,Iran,6
80,Public Transportation,6
81,Public Transportation,6
96,Public Transportation,6
0,Public Transportation,7
8,Privacy,7
22,Iran,7
23,Iran,7
30,Public Transportation,7
46,Iran,7
76,Public Transportation,7
89,Public Transportation,7
90,Privacy,7
93,Privacy,7
96,Public Transportation,7
4,Iran,8
5,Privacy,8
11,Public Transportation,8
44,Iran,8
50,Privacy,8
54,Iran,8
67,Privacy,8
69,Privacy,8
91,Privacy,8
0,Public Transportation,9
5,Public Transportation,9
19,Privacy,9
43,Public Transportation,9
54,Iran,9
57,Public Transportation,9
4,Privacy,10
15,Privacy,10
21,Iran,10
26,Public Transportation,10
32,Privacy,10
37,Privacy,10
39,Privacy,10
40,Public Transportation,10
43,Privacy,10
58,Public Transportation,10
74,Iran,10
75,Privacy,10
78,Privacy,10
80,Public Transportation,10
87,Public Transportation,10
1,Iran,11
4,Privacy,11
8,Public Transportation,11
10,Iran,11
30,Public Transportation,11
36,Privacy,11
54,Public Transportation,11
55,Public Transportation,11
65,Public Transportation,11
68,Privacy,11
72,Privacy,11
0,Public Transportation,12
13,Public Transportation,12
39,Public Transportation,12
46,Public Transportation,12
60,Iran,12
66,Privacy,12
71,Iran,12
76,Public Transportation,12
94,Public Transportation,12
1,Public Transportation,13
10,Privacy,13
13,Iran,13
24,Privacy,13
44,Iran,13
48,Privacy,13
58,Privacy,13
75,Iran,13
76,Privacy,13
89,Public Transportation,13
91,Privacy,13
15,Iran,14
36,Public Transportation,14
52,Iran,14
55,Iran,14
97,Public Transportation,14
2,Iran,15
3,Privacy,15
9,Public Transportation,15
17,Privacy,15
38,Privacy,15
44,Privacy,15
46,Iran,15
60,Public Transportation,15
88,Privacy,15
0,Privacy,16
4,Public Transportation,16
11,Public Transportation,16
13,Iran,16
18,Privacy,16
23,Public Transportation,16
28,Iran,16
31,Privacy,16
48,Privacy,16
50,Iran,16
63,Privacy,16
69,Public Transportation,16
84,Public Transportation,16
16,Privacy,17
27,Public Transportation,17
29,Public Transportation,17
38,Public Transportation,17
39,Privacy,17
50,Privacy,17
73,Iran,17
8,Privacy,18
24,Privacy,18
35,Public Transportation,18
39,Iran,18
49,Public Transportation,18
55,Public Transportation,18
77,Privacy,18
81,Public Transportation,18
91,Iran,18
97,Privacy,18
10,Public Transportation,19
34,Public Transportation,19
67,Privacy,19
73,Privacy,19
92,Privacy,19
98,Privacy,19
1,Iran,20
11,Privacy,20
14,Privacy,20
18,Iran,20
29,Iran,20
40,Privacy,20
42,Iran,20
47,Public Transportation,20
58,Iran,20
75,Privacy,20
76,Iran,20
82,Iran,20
95,Privacy,20
98,Public Transportation,20
3,Iran,21
8,Privacy,21
19,Privacy,21
20,Public Transportation,21
38,Privacy,21
39,Iran,21
41,Public Transportation,21
45,Iran,21
52,Public Transportation,21
55,Privacy,21
59,Public Transportation,21
83,Public Transportation,21
92,Iran,21
95,Iran,21
96,Public Transportation,21
3,Privacy,22
4,Public Transportation,22
8,Public Transportation,22
13,Iran,22
31,Iran,22
39,Public Transportation,22
42,Privacy,22
49,Privacy,22
60,Iran,22
70,Public Transportation,22
91,Public Transportation,22
92,Iran,22
99,Public Transportation,22
3,Public Transportation,23
10,Privacy,23
13,Privacy,23
21,Iran,23
34,Public Transportation,23
35,Privacy,23
38,Privacy,23
41,Privacy,23
46,Iran,23
70,Privacy,23
71,Iran,23
75,Public Transportation,23
77,Iran,23
13,Public Transportation,24
14,Iran,24
20,Iran,24
40,Public Transportation,24
48,Privacy,24
50,Privacy,24
68,Public Transportation,24
73,Iran,24
16,Public Transportation,25
22,Public Transportation,25
27,Iran,25
35,Privacy,25
41,Iran,25
42,Iran,25
57,Privacy,25
65,Privacy,25
66,Privacy,25
73,Public Transportation,25
74,Privacy,25
76,Public Transportation,25
